Latitude :   29.17
Longitude:  -18.50
Date: 12/11/2020
Time; 12:57:48
PrDM;        Sal00;        T090C
 538.00;      35.6189;      11.7711
 540.00;      35.6164;      11.7435
 542.00;      35.6162;      11.7321
 544.00;      35.6154;      11.7196
 546.00;      35.6139;      11.6991
 548.00;      35.6131;      11.6904
 550.00;      35.6118;      11.6747
 552.00;      35.6086;      11.6478
 554.00;      35.6075;      11.6288
 556.00;      35.6030;      11.5954
 558.00;      35.5998;      11.5619
 560.00;      35.5992;      11.5404
 562.00;      35.5985;      11.5336
 564.00;      35.5974;      11.5228
 566.00;      35.5941;      11.5077
 568.00;      35.5891;      11.4695
 570.00;      35.5877;      11.4522
 572.00;      35.5868;      11.4383
 574.00;      35.5865;      11.4314
 576.00;      35.5871;      11.4180
 578.00;      35.5869;      11.4043
 580.00;      35.5870;      11.3994
 582.00;      35.5869;      11.3953
 584.00;      35.5869;      11.3933
 586.00;      35.5870;      11.3907
 588.00;      35.5868;      11.3871
 590.00;      35.5844;      11.3722
 592.00;      35.5819;      11.3381
 594.00;      35.5773;      11.3109
 596.00;      35.5749;      11.2511
 598.00;      35.5750;      11.2481
 600.00;      35.5749;      11.2431
 602.00;      35.5734;      11.2266
 604.00;      35.5723;      11.2102
 606.00;      35.5716;      11.2007
 608.00;      35.5716;      11.1961
 610.00;      35.5717;      11.1952
 612.00;      35.5717;      11.1945
 614.00;      35.5716;      11.1948
 616.00;      35.5713;      11.1901
 618.00;      35.5700;      11.1796
 620.00;      35.5679;      11.1541
 622.00;      35.5664;      11.1361
 624.00;      35.5657;      11.1201
 626.00;      35.5642;      11.0947
 628.00;      35.5634;      11.0737
 630.00;      35.5627;      11.0615
 632.00;      35.5621;      11.0488
 634.00;      35.5616;      11.0377
 636.00;      35.5612;      11.0285
 638.00;      35.5609;      11.0224
 640.00;      35.5599;      11.0086
 642.00;      35.5598;      11.0039
 644.00;      35.5577;      10.9894
 646.00;      35.5534;      10.9177
 648.00;      35.5511;      10.8792
 650.00;      35.5511;      10.8528
 652.00;      35.5502;      10.8386
 654.00;      35.5500;      10.8266
 656.00;      35.5503;      10.8250
 658.00;      35.5503;      10.8215
 660.00;      35.5502;      10.8175
 662.00;      35.5499;      10.8035
 664.00;      35.5488;      10.7947
 666.00;      35.5474;      10.7808
 668.00;      35.5480;      10.7771
 670.00;      35.5458;      10.7583
 672.00;      35.5441;      10.7412
 674.00;      35.5443;      10.7402
 676.00;      35.5444;      10.7406
 678.00;      35.5433;      10.7356
 680.00;      35.5425;      10.7167
 682.00;      35.5420;      10.7082
 684.00;      35.5413;      10.6937
 686.00;      35.5390;      10.6543
 688.00;      35.5384;      10.6318
 690.00;      35.5382;      10.6202
 692.00;      35.5382;      10.6145
 694.00;      35.5378;      10.6087
 696.00;      35.5378;      10.6058
 698.00;      35.5369;      10.5973
 700.00;      35.5359;      10.5828
 702.00;      35.5348;      10.5739
 704.00;      35.5341;      10.5556
 706.00;      35.5341;      10.5456
 708.00;      35.5348;      10.5210
 710.00;      35.5345;      10.5103
 712.00;      35.5345;      10.5007
 714.00;      35.5345;      10.5000
 716.00;      35.5339;      10.4908
 718.00;      35.5342;      10.4842
 720.00;      35.5333;      10.4686
 722.00;      35.5338;      10.4533
 724.00;      35.5339;      10.4524
 726.00;      35.5341;      10.4506
 728.00;      35.5343;      10.4439
 730.00;      35.5321;      10.4087
 732.00;      35.5327;      10.3811
 734.00;      35.5325;      10.3611
 736.00;      35.5325;      10.3490
 738.00;      35.5312;      10.3331
 740.00;      35.5310;      10.2969
 742.00;      35.5305;      10.2670
 744.00;      35.5302;      10.2464
 746.00;      35.5285;      10.1978
 748.00;      35.5280;      10.1703
 750.00;      35.5284;      10.1672
 752.00;      35.5285;      10.1601
 754.00;      35.5289;      10.1580
 756.00;      35.5286;      10.1499
 758.00;      35.5283;      10.1362
 760.00;      35.5282;      10.1250
 762.00;      35.5282;      10.1151
